state,date,population_000s
Johor,2025-01-01,8411.699999999999
Kedah,2025-01-01,4456.0
Kelantan,2025-01-01,3815.3
Melaka,2025-01-01,2105.2
Negeri Sembilan,2025-01-01,2489.2
Pahang,2025-01-01,3356.3
Perak,2025-01-01,5149.8
Perlis,2025-01-01,595.6
Pulau Pinang,2025-01-01,3606.5
Sabah,2025-01-01,7519.2
Sarawak,2025-01-01,5059.8
Selangor,2025-01-01,14813.6
Terengganu,2025-01-01,2494.0
Kuala Lumpur,2025-01-01,4148.0
Labuan,2025-01-01,201.8
Putrajaya,2025-01-01,241.4
